code,description,icon,value,unit,size,legacy_code,legacy_description,type,target_model
C22_8,"Ajoneuvon suurin sallittu korkeus  2,6 m",C22_8.svg,2.6,metri,,,,,traffic_sign
C22_9,"Ajoneuvon suurin sallittu korkeus  2,7 m",C22_9.svg,2.7,metri,,,,,traffic_sign
C23,Ajoneuvon tai ajoneuvoyhdistelmän suurin sallittu pituus  20 m,C23.svg,20,metri,,343,Ajoneuvon tai ajoneuvoyhdistelmän suurin sallittu pituus,,traffic_sign
C23_2,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  10 m,C23_2.svg,10,metri,,,,,traffic_sign
C23_3,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  12 m,C23_3.svg,12,metri,,,,,traffic_sign
C23_4, Ajoneuvoyhdistelmän suurin sallittu pituusAjoneuvon tai  14 m,C23_4.svg,14,metri,,,,,traffic_sign
C23_5,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  16 m,C23_5.svg,16,metri,,,,,traffic_sign
C23_6,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  18 m,C23_6.svg,18,metri,,,,,traffic_sign
C23_7,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  22 m,C23_7.svg,22,metri,,,,,traffic_sign
C23_8,Ajoneuvon tai Ajoneuvoyhdistelmän suurin sallittu pituus  24 m,C23_8.svg,24,metri,,,,,traffic_sign
C24,Ajoneuvon suurin sallittu massa  12 t,C24.svg,12,tonni,,344,Ajoneuvon suurin sallittu massa,,traffic_sign
C24_10,Ajoneuvon suurin sallittu massa  20 t,C24_10.svg,20,tonni,,,,,traffic_sign
C24_11,Ajoneuvon suurin sallittu massa  25 t,C24_11.svg,25,tonni,,,,,traffic_sign
C24_12,Ajoneuvon suurin sallittu massa  30 t,C24_12.svg,30,tonni,,,,,traffic_sign
C24_13,Ajoneuvon suurin sallittu massa  35 t,C24_13.svg,35,tonni,,,,,traffic_sign
C24_14,Ajoneuvon suurin sallittu massa  42 t,C24_14.svg,42,tonni,,,,,traffic_sign
C24_2,"Ajoneuvon suurin sallittu massa  3,5 t",C24_2.svg,3.5,tonni,,,,,traffic_sign
C24_3,Ajoneuvon suurin sallittu massa  4 t,C24_3.svg,4,tonni,,,,,traffic_sign
C24_4,Ajoneuvon suurin sallittu massa  6 t,C24_4.svg,6,tonni,,,,,traffic_sign
C24_5,Ajoneuvon suurin sallittu massa  8 t,C24_5.svg,8,tonni,,,,,traffic_sign
C24_6,Ajoneuvon suurin sallittu massa  10 t,C24_6.svg,10,tonni,,,,,traffic_sign
C24_7,Ajoneuvon suurin sallittu massa  14 t,C24_7.svg,14,tonni,,,,,traffic_sign
C24_8,Ajoneuvon suurin sallittu massa  16 t,C24_8.svg,16,tonni,,,,,traffic_sign
C24_9,Ajoneuvon suurin sallittu massa  18 t,C24_9.svg,18,tonni,,,,,traffic_sign
C25,Ajoneuvoyhdistelmän suurin sallittu massa  30 t,C25.svg,30,tonni,,345,Ajoneuvoyhdistelmän suurin sallittu massa,,traffic_sign
C25_10,Ajoneuvoyhdistelmän suurin sallittu massa  76 t,C25_10.svg,76,tonni,,,,,traffic_sign
C25_2,Ajoneuvoyhdistelmän suurin sallittu massa  35 t,C25_2.svg,35,tonni,,,,,traffic_sign
C25_3,Ajoneuvoyhdistelmän suurin sallittu massa  40 t,C25_3.svg,40,tonni,,,,,traffic_sign
C25_4,Ajoneuvoyhdistelmän suurin sallittu massa  45 t,C25_4.svg,45,tonni,,,,,traffic_sign
C25_5,Ajoneuvoyhdistelmän suurin sallittu massa  50 t,C25_5.svg,50,tonni,,,,,traffic_sign
C25_6,Ajoneuvoyhdistelmän suurin sallittu massa  55 t,C25_6.svg,55,tonni,,,,,traffic_sign
C25_7,Ajoneuvoyhdistelmän suurin sallittu massa  60 t,C25_7.svg,60,tonni,,,,,traffic_sign
C25_8,Ajoneuvoyhdistelmän suurin sallittu massa  65 t,C25_8.svg,65,tonni,,,,,traffic_sign
C25_9,Ajoneuvoyhdistelmän suurin sallittu massa  70 t,C25_9.svg,70,tonni,,,,,traffic_sign
C26,Ajoneuvon suurin sallittu akselille kohdistuva massa  8 t,C26.svg,8,tonni,,346,Ajoneuvon suurin sallittu akselille kohdistuva massa,,traffic_sign
C26_2,Ajoneuvon suurin sallittu Akselille kohdistuva massa  4 t,C26_2.svg,4,tonni,,,,,traffic_sign
C26_3,Ajoneuvon suurin sallittu Akselille kohdistuva massa  5 t,C26_3.svg,5,tonni,,,,,traffic_sign
C26_4,Ajoneuvon suurin sallittu Akselille kohdistuva massa  6 t,C26_4.svg,6,tonni,,,,,traffic_sign
C26_5,Ajoneuvon suurin sallittu Akselille kohdistuva massa  7 t,C26_5.svg,7,tonni,,,,,traffic_sign
C26_6,Ajoneuvon suurin sallittu Akselille kohdistuva massa  9 t,C26_6.svg,9,tonni,,,,,traffic_sign
C26_7,Ajoneuvon suurin sallittu Akselille kohdistuva massa  10 t,C26_7.svg,10,tonni,,,,,traffic_sign
C27,Ajoneuvon suurin sallittu telille kohdistuva massa  14 t,C27.svg,14,tonni,,347,Ajoneuvon suurin sallittu telille kohdistuva massa,,traffic_sign
C27_2,Ajoneuvon suurin sallittu telille kohdistuva massa  18 t,C27_2.svg,18,tonni,,,,,traffic_sign
C27_3,Ajoneuvon suurin sallittu telille kohdistuva massa  21 t,C27_3.svg,21,tonni,,,,,traffic_sign
C28,Ohituskielto,C28.svg,,,,351,Ohituskielto,,traffic_sign
C29,Ohituskielto päättyy,C29.svg,,,,352,Ohituskielto päättyy,,traffic_sign
C3,Kuorma- ja pakettiautolla ajo kielletty,C3.svg,,,,313,Kuorma- ja pakettiautolla ajo kielletty,,traffic_sign
C30,Ohituskielto kuorma-autolla,C30.svg,,,,353,Ohituskielto kuorma-autolla,,traffic_sign
C31,Ohituskielto kuorma-autolla päättyy,C31.svg,,,,354,Ohituskielto kuorma-autolla päättyy,,traffic_sign
C32,Nopeusrajoitus 60,C32.svg,60,km/h,,3612,Nopeus rajoitus,,traffic_sign
