wkt_geom;fid;piirustusnumero;decision_id;diaari
MultiPolygon (((25497060.89291213825345039 6672903.88475848361849785, 25497062.26844877749681473 6672876.99649092927575111, 25497101.60857057571411133 6672878.07381098531186581, 25497101.60857057571411133 6672906.25233285967260599, 25497060.89291213825345039 6672903.88475848361849785)));11;0;2012-176;HEL 2012-014077
MultiPolygon (((25494756.24116601049900055 6679416.39313072804361582, 25494766.93494534492492676 6679389.66723417025059462, 25494786.95180017501115799 6679398.59707089513540268, 25494803.03117817267775536 6679434.45760371070355177, 25494756.24116601049900055 6679416.39313072804361582)));12;7578;2024-29;HEL 2024-002492
MultiPolygon (((25503240.83499500527977943 6677435.79739730339497328, 25503222.4547511525452137 6677442.38826054055243731, 25503204.87833952903747559 6677422.7852917555719614, 25503224.04496206343173981 6677400.17066953703761101, 25503240.83499500527977943 6677435.79739730339497328)));13;7582;2024-30;HEL 2024-002566
MultiPolygon (((25491748.05929712951183319 6680718.68090482708066702, 25491782.02987599745392799 6680745.10657958220690489, 25491823.66946912184357643 6680692.62859068997204304, 25491769.98773328959941864 6680656.49674229975789785, 25491527.90366920456290245 6680637.77351482678204775, 25491484.74017399549484253 6680633.90769908390939236, 25491450.36259309947490692 6680631.95921523123979568, 25491445.63937671855092049 6680694.38686164934188128, 25491517.73179567977786064 6680709.36204033717513084, 25491748.05929712951183319 6680718.68090482708066702)));14;6064;2012-17;HEL 2012-001871
MultiPolygon (((25496056.98805491253733635 6676084.18235956504940987, 25496056.49862007424235344 6676081.09218962118029594, 25496055.07822485640645027 6676078.30450704228132963, 25496052.86590743437409401 6676076.09218962118029594, 25496050.07822485640645027 6676074.6717944024130702, 25496046.98805491253733635 6676074.18235956504940987, 25496043.89788496866822243 6676074.6717944024130702, 25496041.11020239070057869 6676076.09218962118029594, 25496038.89788496866822243 6676078.30450704228132963, 25496037.47748975083231926 6676081.09218962118029594, 25496036.98805491253733635 6676084.18235956504940987, 25496037.47748975083231926 6676087.27252950891852379, 25496038.89788496866822243 6676090.0602120878174901, 25496041.11020239070057869 6676092.27252950891852379, 25496043.89788496866822243 6676093.69292472768574953, 25496046.98805491253733635 6676094.18235956504940987, 25496050.07822485640645027 6676093.69292472768574953, 25496052.86590743437409401 6676092.27252950891852379, 25496055.07822485640645027 6676090.0602120878174901, 25496056.49862007424235344 6676087.27252950891852379, 25496056.98805491253733635 6676084.18235956504940987)));15;0;2014-160;HEL 2014-011460
MultiPolygon (((25495612.66666668653488159 6672326.3541666716337204, 25495615.04791668802499771 6672308.62708333879709244, 25495647.06250001862645149 6672314.97708333842456341, 25495645.21041668578982353 6672333.23333333805203438, 25495612.66666668653488159 6672326.3541666716337204)));16;0;2012-181;HEL 2012-013164
MultiPolygon (((25496518.82291665300726891 6674747.27916666679084301, 25496524.64374998584389687 6674727.34722222201526165, 25496578.26597220823168755 6674742.95763888768851757, 25496572.62152776122093201 6674763.41874999925494194, 25496518.82291665300726891 6674747.27916666679084301)));17;0;2013-160;HEL 2013-012234
MultiPolygon (((25493994.85284636914730072 6681388.26331684924662113, 25494002.53236261755228043 6681366.6646773936226964, 25494016.9314555898308754 6681370.5044355196878314, 25494008.77196957170963287 6681393.0630145063623786, 25493994.85284636914730072 6681388.26331684924662113)));18;0;2013-132;HEL 2013-012236
MultiPolygon (((25495870.35520832613110542 6676368.54270833265036345, 25495863.74062499403953552 6676356.63645833265036345, 25495878.29270832613110542 6676348.16979166585952044, 25495884.11354165896773338 6676360.73749999888241291, 25495870.35520832613110542 6676368.54270833265036345)));19;0;2013-161;HEL 2013-013775
MultiPolygon (((25506499.20664773881435394 6680489.41189274284988642, 25506500.46712124720215797 6680473.97347799222916365, 25506525.59220932051539421 6680474.67995419166982174, 25506525.37232964113354683 6680489.85165210254490376, 25506499.20664773881435394 6680489.41189274284988642)));20;0;2013-133;HEL 2013-012235
