Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2019-39;17.5.2019;Hidastejärjestelyt Raumantie 2 kohdalla;HEL 2019-003676;Raumantie 2;https://paatokset.hel.fi/fi/asia/hel-2019-003676
2019-37;17.5.2019;Pysäköintijärjestelyt Ulvilantie 13 vastapäätä;HEL 2019-004781;Pysäköintijärjestelyt Ulvilantie 13 vastapäätä;https://paatokset.hel.fi/fi/asia/hel-2019-004781
2019-40;17.5.2019;Pysäköinnin rajoittaminen Munkkiniemenrannan pysäköintialueella;HEL 2019-004783;Munkkiniemenrannan pysäköintialueen aikarajoitus;https://paatokset.hel.fi/fi/asia/hel-2019-004783
2019-35;17.5.2019;Pysäköintijärjestelyt Lauttasaarentie 26 ja 29 edustalla;HEL 2019-004927;6962;https://paatokset.hel.fi/fi/asia/hel-2019-004927
2019-38;17.5.2019;Pysäköinnin rajoittaminen Päiväläisentiellä;HEL 2019-005147;Pysäköinin rajoittaminen Päiväläisentiellä;https://paatokset.hel.fi/fi/asia/hel-2019-005147
2019-36;17.5.2019;Hietaniemen alueen pysäköintijärjestelyt;HEL 2019-005172;6863;https://paatokset.hel.fi/fi/asia/hel-2019-005172
2019-49;24.5.2019;Liusketien pysäköintijärjestelyt Katinkullanpolun kohdalla;HEL 2018-006600;Liusketie 10;https://paatokset.hel.fi/fi/asia/hel-2018-006600
2019-50;24.5.2019;Vahtitien ja Vahtipolun liikenteen ohjaussuunnitelma;HEL 2018-007604;6864;https://paatokset.hel.fi/fi/asia/hel-2018-007604
2019-46;24.5.2019;Haukilahdenkadun ryhmitysmerkit Hämeentien risteyksessä;HEL 2018-010075;Haukilahdenkatu 2;https://paatokset.hel.fi/fi/asia/hel-2018-010075
2019-44;24.5.2019;Toukolan rantapuiston läpiajon estäminen;HEL 2019-003441;6876;https://paatokset.hel.fi/fi/asia/hel-2019-003441
2019-45;24.5.2019;Arabianrannan katujen kääntöpaikkojen pysäköintijärjestelyjen selkeyttäminen;HEL 2019-003465;6877;https://paatokset.hel.fi/fi/asia/hel-2019-003465
2019-43;24.5.2019;Pakollisen pysäyttämisen merkitseminen Sörnäistenkadulle Lautatarhankadun risteykseen;HEL 2019-005599;Sörnäistenkatu 2;https://paatokset.hel.fi/fi/asia/hel-2019-005599
2019-47;24.5.2019;Jyrängöntien pysäköintikentän pysäköintijärjestelyt;HEL 2019-005600;6968;https://paatokset.hel.fi/fi/asia/hel-2019-005600
2019-48;24.5.2019;Lapsia-varoitusmerkkien poistaminen Nummitieltä ja pysäköinnin salliminen Nummitie 14 kohdalla;HEL 2019-005605;Nummitie 10;https://paatokset.hel.fi/fi/asia/hel-2019-005605
2019-41;24.5.2019;Kesäkadun, Merikannontien ja Rajasaarenpenkereen liikenteen ohjaussuunnitelma ;HEL 2019-005666;6972;https://paatokset.hel.fi/fi/asia/hel-2019-005666
2019-42;24.5.2019;Snellmaninaukion liikenteen ohjaussuunnitelma;HEL 2019-005761;6971;https://paatokset.hel.fi/fi/asia/hel-2019-005761
2019-52;3.6.2019;Suojatiejärjestelyt Selkämerenkatu 16 kohdalla;HEL 2019-002335;6937;https://paatokset.hel.fi/fi/asia/hel-2019-002335
2019-51;3.6.2019;Kantelettarentien ja Vanhaistentien liikenteen ohjaussuunnitelma;HEL 2019-006074;6976;https://paatokset.hel.fi/fi/asia/hel-2019-006074
2019-54;3.6.2019;Kuusitien, Pihlajatien ja Ratsastien asukaspysäköintijärjestelyt ;HEL 2019-006141;6975;https://paatokset.hel.fi/fi/asia/hel-2019-006141
