Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2015-49;24.4.2015;Gotlanninkadun, Visbynkadun ja Visbynkujan liikenteen ohjaussuunnitelma;HEL 2015-003375;6410-1;
2015-50;24.4.2015;Pysäköinnin kieltäminen Bulevardi 26 edustalla;HEL 2015-004052;Bulevardi;
2015-51;24.4.2015;Fabianinkadun pysäköintijärjestelyt välillä Eteläesplanadi Pohjoisesplanadi;HEL 2015-004074;6434-3;
2015-52;24.4.2015;Pysäyttämisen kieltäminien Keskuskadulla WTC:n pysäköintilaitoksen ajoyhteydellä;HEL 2015-004960;Keskuskatu;
2015-55;8.5.2015;Vuorikadun liikenteen ohjaussuunnitelma;HEL 2015-005417;6440-3;
2015-54;8.5.2015;Polkupyörien pysäköintipaikkojen ja saattotilan merkitseminen Fabianinkatu 30 edustalle sekä lippuautomaatin poistaminen Fabianinkatu 37 edustalta;HEL 2015-005423;Fabianinkatu ;
2015-57;8.5.2015;Keltaisen kaksoissulkuviivan merkitseminen Korppaanmäentien raitiovaunupysäkkien kohdille;HEL 2015-005511;Korppaanmäentie;
2015-56;8.5.2015;Invalidien ajoneuvon pysäköintipaikan merkitseminen Bergbominkujalle;;;
2015-60;15.5.2015;Asukaspysäköintipaikkojen lisääminen Annankatu 23-25 edustalle ;HEL 2015-005751;Annankatu ;
2015-59;15.5.2015;Päijänteentien ja Vääksynkujan pysäköintijärjestelyt;HEL 2015-005755;6442-34;
2015-61;15.5.2015;Lippuautomaattipaikkojen lisääminen Pohjoisesplanadi 39 edustalle;HEL 2015-005803;Pohjoisesplanadi ;
2015-65;29.5.2015;Suopellonkaaren alueen liikenteen ohjaussuunnitelma;HEL 2015-005827;6443-2;
2015-64;29.5.2015;Paloheinäntien pysäköinnin rajoittaminen välillä Sysimiehentie Saramäentie;HEL 2015-006137;6445-3;
2015-63;29.5.2015;Henrik Lättiläisen kadun, Ristiretkeläistenkadun, Valdemarinkujan ja Valdemarin torin pysäköintijärjestelyt;HEL 2015-006313;6441-4;
2015-67;5.6.2015;Läkisepäntie 23 edustan pysäköintijärjestelyt;HEL 2015-004857;Läkkisepäntie;
2015-68;5.6.2015;Poutunpolun liikenteen ohjaussuunnitelma;HEL 2015-006430;Poutunpolku;
2015-69;5.6.2015;Nopeusrajoituksen nostaminen Kallvikintiellä Satamasaarentien ympäristössä;HEL 2015-006532;Kallvikintie;
2015-72;12.6.2015;Takomäenkadun asuntoalueen pohjoisosan liikenteen ohjaussuunnitelma;HEL 2015-002308;6406-1;
2015-75;12.6.2015;Intiankadun liikennejärjestelyt Kumpulassa;HEL 2015-006571;6448-1;
2015-77;12.6.2015;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 7 ja 9 edustalle ja asiointipypsäköintipaikkojen lisääminen Unioninkatu 15 edustalle;HEL 2015-006626;6452-3, Pohjoinen Makasiinikatu;
2015-76;12.6.2015;Pysäköinnin kieltäminen Erottajankatu 2 edustalla;HEL 2015-006687;Erottajankatu;
2015-73;12.6.2015;Pysäköintijärjestelyt pohjoisella ja Eteläisellla Rautatiekadulla;HEL 2015-006706;6451-33;
2015-74;12.6.2015;Elielinaukion linja-autoliikenteen järjestelyt;HEL 2015-006707;6450-4;
2015-71;12.6.2015;Pysäköinnin rajoittaminen Laippatie 7 edustalla;HEL 2015-006727;Laippatie;
2015-78;12.6.2015;Töölönlahdenkadun liikennejärjestelyt;;;
2015-79;12.6.2015;Pakollinen pysäyttminen Itäväylältä Viilarintielle johtavan rampin päähän;;;
2015-84;18.6.2015;Vanhan Helsingintien, Pihlajamäentien ja Tattariharjuntien risteyksen liikenteen ohjaussuunnitelma;HEL 2015-006484;6447-1;
2015-81;18.6.2015;Vanhan Tuusulantien liikenteen ohjaussuunnitelma Laamannintien risteyksen kohdalla;HEL 2015-006887;6454-3;
2015-85;18.6.2015;Alvar Aallon kadun liikenteen ohjaussuunnitelma;HEL 2015-007072;6457-3;
2015-82;18.6.2015;Mikkolantien ja Mikkolankujan risteyksen suojatiejärjestelyt;;;
2015-83;18.6.2015;Liikenteen ohjaussuunnitelma Jakomäentie 6 kohdalla;;;
2015-95;26.6.2015;Kirkonkyläntien ja Latokartanontien liikenteen ohjaussuunnitelma Malmin aseman kohdalla;HEL 2015-002026;6460-3;
2015-89;26.6.2015;Roihuvuoren pohjoisrinteen alueen liikennesunnitelma;HEL 2015-003637;6431-3;
2015-91;26.6.2015;Alikulkukorkeuden muuttaminen Kivihaanpolulla;HEL 2015-007162;Kivihaanpolku;
2015-92;26.6.2015;Tapaninkyläntien länsiosan liikenteen ohjaussuunnitelma;HEL 2015-007249;6459-3;
2015-94;26.6.2015;Kirkonkyläntien itäosan ja Latokartanontien länsiosan linja-autokaistajärjestelyt;HEL 2015-007259;6461-1, 6462-1, 6463-2;
2015-90;26.6.2015;Linja-autopysäkin merkitseminen Kontulankaarelle;HEL 2015-007289;Kontulankaari;
2015-87;26.6.2015;Yleisen pysäköintialueen liikennejärjestelyt Holmanmoisionpolku 1 edustalla;HEL 2015-007310;6466-4;
2015-88;26.6.2015;Hidastejärjestelyjen tarkistaminen Suolakivenkatu 7-13 edustalla;HEL 2015-007322;6467-4;
2015-93;26.6.2015;Suojatien poistaminen Ritokalliontie 5 kohdalta;HEL 2015-007385;Ritokalliontie;
2015-98;26.6.2015;Topeliuksenkadun ja Haartmaninkadun risteyksen liikenteen ohjaussuunnitelma;HEL 2015-007407;6468-3;
2015-97;26.6.2015;Pysäköinnin kieltäminen Hietalahdenkatu 8 edustalla;HEL 2015-007412;Hietalahdenkatu;
2015-96;26.6.2015;Tonttiliittymän rakentaminen Seilorinkadulle;HEL 2015-007420;Seilorinkatu;
2015-99;26.6.2015;Yhdyskunnantien ja Uudentuvantien risteyksen liikennejärjestelyt;;;
2015-101;14.8.2015;Väistämisjärjetelyt Mustalahdentien ja Neitsytsaarentien liittymässä;HEL 2015-008166;Mustalahdentie;
2015-102;14.8.2015;Pysäköinnin kieltäminen Rusthollarintie 9 vastapäätä;HEL 2015-008823;Rusthollarintie;
2015-105;21.8.2015;Jalankulun automaattisen laskentalaitteen asettaminen Frerikinkatu 34 edustalle ja Helsinginkadulle Jarjutorin edustalle;HEL 2014-008130;Fredrikinkatu, Helsinginkatu;
2015-106;21.8.2015;Pohjoisranta 24-22 vastapäisten pysäköintipaikkojen ja pyörätien järjestelyt;HEL 2015-008147;Pohjoisranta;
2015-104;21.8.2015;Pysäköintijärjestelyt Louhikkokujalla;HEL 2015-009049;Louhikkokuja;
2015-110;28.8.2015;CD-paikkojen merkitseminen Bulevardi 14 edustalle ja asiointipaikkojen lisääminen Bulevardi 12 edustalle;HEL 2015-008601;Bulevardi;
2015-111;28.8.2015;Pysäköinnin kieltäminen kokeiluna yöaikaan Lönnrotinkatu 12 ja 14 edustalla, Pietarinkatu 12 edustalla, Sannelmaninkatu 27 edustalla ja Sörnäisten rantatie 7 ja 5 edustalla;HEL 2015-009244;Lönnrotinkatu, Pietarinkatu, Snellmaninkatu, Sörnäisten rantatie;
2015-109;28.8.2015;Pysäköinnin rajoittaminen Karviaistie 1-3 edustalla;HEL 2015-009276;Karviaistie;
2015-108;28.8.2015;Puutarhakadun jalkakäytävän leventäminen;HEL 2015-009305;6480-4;
2015-115;4.9.2015;Asiointipysäköintipaikkojen merkitseminen hakaniemenranta 14 ja 12 edustalle;HEL 2015-007949;Hakaniemenranta;
2015-114;4.9.2015;Pysäköinnin kieltäminen Pieni Roobertinkatu 3-1 edustalla;HEL 2015-008999;Pieni Roobertinkatu;
2015-116;4.9.2015;Tapulikaupungin pohjoisosan liikenteen ohjaussuunnitelma;HEL 2015-009017;6472-0;
2015-113;4.9.2015;Pysäköinnin rajoittaminen Malmin asematie 3 edustalla;HEL 2015-009545;Malmin asematie;
2015-117;4.9.2015;Portailla varutetun reitin opastaminen Tahtipolulla;;;
2015-121;18.9.2015;Pysäköinnin kieltäminen Myllärintie 9 edustalla;HEL 2015-006747;Myllärintie;
2015-122;18.9.2015;Pysäköinti- ja pysäkkijärjestelyt Linnoittajantiellä;HEL 2015-007637;6482-3;
2015-120;18.9.2015;Kallvikintien liikenteen ohjaussuunnitelma välillä Kuntopolku Heteniityntie;HEL 2015-009934;6478-3;
2015-119;18.9.2015;Kallvikintien liikenteen ohjaussuunnitelma avälillä Rantakiventie Aitiopaikka;;;
2015-125;25.9.2015;Tontilleajon salliminen Tapulipolulta;HEL 2015-010020;Tapulipolku;
2015-126;25.9.2015;Kuorma- ja linja-autojen pysäköintipaikan merkitseminen Raaseporintie 1 vastapäätä;HEL 2015-010285;Raaseporintie;
2015-124;25.9.2015;Ruonasalmentien suojatiejärjestelyt;HEL 2015-010291;6473-4;
2015-127;25.9.2015;Suojatiejärjestelyt Johtokiventiellä Johtokivenpolun kohdalla;HEL 2015-010337;Johtokiventie ;
2015-130;9.10.2015;Invalidin ajoneuvon pysäköintipaikan merkitseminen Puotilan metroaseman liityntäpysäköintialueille;HEL 2015-010068;Metroasema;
2015-131;9.10.2015;Pysäköinnin rajoittaminen panuntie 2c ja 2a edustalla;HEL 2015-010616;Panuntie;
2015-132;9.10.2015;Lippuautomaattien poistamnen kantakaupungissä;HEL 2015-010735;Aleksis Kiven katu 11, Aleksis Kiven katu 48, 54-52, Arkadiankatu , Asemapäällikönkatu , Eiranranta, Fredrikinkatu, Itämerenkatu, Oksasenkatu, Pohjoisranta, Temppelikatu;
2015-129;9.10.2015;Ryhmitysjärjestelyt Mellunmäentien ja Naulakalliontien risteyksessä;HEL 2015-010805;6488-4;
2015-137;16.10.2015;Tyynyhidasteiden poistaminen Klamintie 6 ja Humikkalantie 15 kohdalta;HEL 2015-010819;Humikkalantie - Klamintie;
2015-134;16.10.2015;Pysäköintijärjestelyjen tarkistaminen Iso Roobertinkatu 45 edustalla;HEL 2015-010846;Iso Roobertinkatu;
2015-135;16.10.2015;Lastausruudun merkitseminen Urho Kekkosen kadulle;HEL 2015-010982;Urho Kekkosen katu;
2015-136;16.10.2015;Pysäköinnin kieltäminen Hevosmiehenkadun kääntöpaikalla;HEL 2015-010991;Hevosmiehenkatu ;
2015-139;23.10.2015;Pysäköintijärjestelyjen tarkistaminen Fabianinkatu 33 edustalla;HEL 2015-010894;Fabianinkatu;
2015-140;23.10.2015;Ajoestetolppien asettaminen Yrjönkatu 29 ja 31 edustalle;HEL 2015-011230;Yrjönkatu ;
2015-141;23.10.2015;Polkupyörätelineiden asettaminen Munkkiniemen puistotie 22 ja 20 kohdalle;HEL 2015-011303;Munkkiniemen puistotie;
2015-143;23.10.2015;Yhteiskäyttöautojen pysäköintitilat;HEL 2015-011309;6502-7;
2015-142;23.10.2015;Pysäköintijärjestelyt Veljestentiellä välillä Liiketie Päivöläntie;HEL 2015-011381;Veljestentie;
2015-150;30.10.2015;Helsinginkadun liikenteen ohjaussuunnitelma välillä Kaarlenkatu Hämeentie;HEL 2015-007920;6476-44;
2015-145;30.10.2015;Pysäköinnin kieltäminen Kapteeninkatu 26 edustalla;HEL 2015-010844;Kapteeninkatu;
2015-151;30.10.2015;Asiointipysäköintipaikkojen merkitseminen Väinö Auerin kadun itäreunalle;HEL 2015-011064;Väinö Auerin katu;
2015-147;30.10.2015;Sulkulaite Mätäjoen ylittävälle sillalle;HEL 2015-011317;Puomi Mätäjoen ylittävälle sillalle;
2015-146;30.10.2015;Pohjoisesplanadin yötaksiaseman voimassaoloajan muuttaminen;HEL 2015-011338;Pohjoisesplanadi;
2015-148;30.10.2015;Käärtinpolun ja Riihipellontien risteyksedn liikennejärjestelyt;HEL 2015-011614;6500-4;
2015-149;30.10.2015;Paciuksenkadun alikulkukäytävän liikenteen ohjaussuunnitelma;HEL 2015-011628;6505-3;
2015-152;30.10.2015;Aittatien liikennejärjestelyt;;;
2015-158;6.11.2015;Asiointipysäköinnin salliminen Rajametsäntie 32 edustalla;HEL 2015-011491;Rajametsäntie;
2015-154;6.11.2015;Pysäköintikiellon poistaminen Mäkitorpantie 17 ja sen viereisen puiston edustalta;HEL 2015-011660;Mäkitorpantie;
2015-156;6.11.2015;Yrjö-Koskisen kadun länsipään liikenteen ohjaussuunnitelma;HEL 2015-011739;6507-4;
2015-155;6.11.2015;Vuosaarentien liikenteen ohjaussuunnitelma välillä Kallvikintie Valkopaadentie;HEL 2015-011871;6506-34;
2015-157;6.11.2015;Kaupunkipyöräasemien sijoittaminen kantakaupunkiin;HEL 2015-011994;6499-3;
2015-159;6.11.2015;Lapsista varoittavien liikennemerkkien poistaminen Repovuorentieltä;;;
2015-161;13.11.2015;Lippuautomaattien poistaminen kantakaupungissa;HEL 2015-010735;Itämerenkatu, Pieni Roobertinkatu, Runeberginkatu, Tukholmankatu, Vyökatu;
2015-162;13.11.2015;Asukaspysäköintipaikkojen lisääminen Eurantie 10-8 ja Kangasalantie 5 edustalle;HEL 2015-011713;Eurantie;
2015-164;13.11.2015;Kalllahdenniemen liikennesuunnitelma;HEL 2015-012010;6508-1, 6509-1, 6510-1;
2015-163;13.11.2015;Lampputien ja Valokaaren liikenteen ohjaussuunnitelma;;;
2015-165;13.11.2015;Suojatie- ja pysäköintijärjestelyt Haartmaninkatu 1-3 kohdalla;;;
2015-167;20.11.2015;Ison Roobertinkadun kävelykadun jatkaminen Annankadun yli;HEL 2015-012131;6513-3;
2015-168;20.11.2015;Pysäköintijärjestelyt Aleksis Kiven katu 5-7 edustalla;HEL 2015-012456;Aleksis Kiven katu;
2015-171;27.11.2015;Puistolan raitin liikennejärjestelyt välillä Jaanankuja Nurkkatie;HEL 2015-012609;6520-1;
2015-172;27.11.2015;Liittymäjärjestelyt Unioninkatu 45 edustalla;HEL 2015-012788;Unioninkatu;
2015-170;27.11.2015;Mellunmäen länsiosan liikenteen ohjaussuunnitelma;HEL 2015-012826;6522-1;
2015-174;4.12.2015;Pakilantien suojatiejärjestelyt välillä Tammiontie Paanutie ;HEL 2015-012921;6526-3;
2015-177;4.12.2015;Vilsandinkujan ja Palmsenpolun ajokielto;HEL 2015-013104;Vilsandinkuja ja Palmsenpolku;
2015-176;4.12.2015;Liikennejärjestelyt Suvilahdenkadulla ja Vilhonvuorenkadulla;HEL 2015-013116;6528-3;
2015-175;4.12.2015;Pysäköintijärjestelyt kadulla Orakas;HEL 2015-013136;Orakas;
2015-27;11.12.2015;Ripusuontien itäpään pysäköintikiellot;HEL 2015-013260;Ripusuontie;
2015-28;11.12.2015;Mekaanikonkatu 5 edustan pysäköintijärjestelyt;HEL 2015-013298;Mekaanikonkatu;
2015-40;17.12.2015;Pysäköinti- ja ajokieltojärjestelyt Raaseporintien pohjoisosalla;HEL 2015-008602;Raaseporintie;
2015-29;17.12.2015;Pysäköinnin kieltäminen Punavuorenkatu 10-6 edustalla;HEL 2015-013465;Punavuorenkatu;
2015-32;17.12.2015;Pysäköintipaikan selkeyuttäminen Korppaanmäentie 36 edustalla;HEL 2015-013467;Korppaanmäentie;
2015-33;17.12.2015;Asukaspysäköintipaikkojen lisääminen Siltavuorenrantaan;HEL 2015-013468;Siltavuorenranta;
2015-31;17.12.2015;Pyörätelineiden sijoittaminen Kamppiin ja Kluuviin;HEL 2015-013503;6533-3;
2015-43;17.12.2015;Kuusikkotien pysäköintijärjestelyt;HEL 2015-013510;6532-4;
2015-37;17.12.2015;Sulkulaitteen asettaminen Lohkarepolulle;HEL 2015-013593;Lohkarepolku;
2015-38;17.12.2015;Pysäköintijärjestelyt Lupajantiellä;HEL 2015-013595;Lupajantie;
2015-39;17.12.2015;Pysäköintijärjestelyt Savitaipaleentiellä;HEL 2015-013599;Savitaipaleentie;
2015-41;17.12.2015;Pysäköintipaikan merkitseminen Sörnäistenkatu 19 edustalle;HEL 2015-013637;Sörnäistenkatu;
2015-34;17.12.2015;Pyörätiejärjestelyt Helsinginkadun ja Läntisen Brahenkadun risteyksessä;HEL 2015-013641;Helsinginkatu;
2015-36;17.12.2015;Norrtäljentien nopeusrajoitusalue- ja suojatie-liikennemerkkien siirto;HEL 2015-013663;Norrtäljentie;
2015-35;17.12.2015;Hakunilan opastaminen kevyen liikenteen viitalla Kääpätien ja Kääpäkujan risteyksessä;HEL 2015-013674;Kääpätie;
2015-42;17.12.2015;Asukaspysäköintipaikkojen lisäämien Särkiniementie 7 edustalla;HEL 2015-013694;Särkiniementie;
2015-30;17.12.2015;Munkkinpuiston liikenteen ohjaussuunnitelma;HEL 2015-013703;6534-2, 6535-2;
2016-2;15.1.2016;Liikennejärjestelyt Jaakonkadulla, Eteläisellä Rautatiekadulla ja Fredrikinkadulla;HEL 2015-013673;6530-3;
2016-3;15.1.2016;Yrjönkadun liikenteen ohjaussuunnitelma välillä Eerikinkatu Simonkatu;HEL 2016-000191;6539-3;
2016-4;29.1.2016;Mnnerheimintien itäreunan jalkakäytävän merkitseminen liikennemerkeillä ja tiemerkinnöillä;HEL 2016-000407;6541-4;
2016-5;29.1.2016;Töölönlahdenkadun suojatiejärjestelyt Karamzininrannan risteyksessä;HEL 2016-000564;6540-4;
2016-7;5.2.2016;Pysäköinnin kieltäminen kokeiluna yöaikaan Lönnrotinkatu 12 ja 14 edustalla sekä Snellmaninkatu 27 edustalla;HEL 2015-009244;Snellmanninkatu, Lönnrotinkatu;
2016-6;5.2.2016;Pysäköintipaikan merkitseminen Viljelijäntie 5 edustalle;HEL 2016-001164;Viljelijäntie;
2016-9;12.2.2016;Pysäköinnin kieltäminen Kaisaniemenrannan pohjoisreunalla muilta kuin linja-autoilta;HEL 2015-009504;Kaisaniemenranta;
2016-8;12.2.2016;Kaupunkipyöräasemien sijoittaminen kantakaupunkiin;HEL 2015-011994;6546-3;
2016-11;12.2.2016;Viskaalinpolkun liikenteen ohjaussuunnitelma;HEL 2016-001451;6545-4;
2016-10;12.2.2016;Asukaspysäköintipaikkojen lisääminen Munkinpolku 12 ja 6 välillä;HEL 2016-001470;Munkinpolku;
2016-12;19.2.2016;Pysäköinnin kieltäminen Helsinginkadun rinnakkaiskadun pohjoisreunalla;HEL 2016-001184;Helsinginkatu ;
2016-13;19.2.2016;Asukaspysäköintipaikkojen lisääminen Neitsytpolku 9 edustalle;HEL 2016-001709;Neitsytpolku;
2016-14;19.2.2016;Pysäköinnin rajoittaminen merikannontie 6 edustan pysäköintialueella;HEL 2016-001834;6547-4;
2016-15;26.2.2016;Ehrenströmintien pysäköintijärjestelyt näköalatasanten ja numero 1 välillä;HEL 2016-002053;6550-3;
2016-17;4.3.2016;Hakaniemen torikadun pysäköintijärjestelyt;HEL 2016-002039;Hakaniemen torikatu;
2016-18;4.3.2016;Asukaspysäköintipaikkojen lisääminen Ruoholahden sillan alle;HEL 2016-002194;6554-4;
2016-16;4.3.2016;Pysäkkijärjestelyt Runeberginkatu 23 ja 25 edustalla;HEL 2016-002393;Runeberginkatu;
2016-21;11.3.2016;Pysäköintijärjestelyt Kivihaantien itäreunalla ja Kivihaankuja 1 edustalla;HEL 2016-002056;Kivihaantie ;
2016-22;11.3.2016;Kuninkaantammen keskustan liikenteen ohjaussuunnitelma;HEL 2016-002626;6556-1;
2016-20;11.3.2016;Klaneettitie 5 edustalle lyhytaikaisia pysäköintipaikkoja;HEL 2016-002697;Klaneettitie;
2016-24;18.3.2016;Bensa-asemankujan, Yhteiskouluntien, Poliisiasemankujan ja Sykinpolun liikenteen ohjaussuunnitelma;HEL 2016-002855;6557-3;
2016-23;18.3.2016;Pysäköinnin kieltäminen Liikkalantiellä;HEL 2016-002980;Liikkalantie;
2016-28;1.4.2016;Niittyläntien ja Läkkisepänkujan pysäköintikiellot;HEL 2016-002872;Niittyläntie/Läkkisepänkuja;
2016-27;1.4.2016;Pysäkki- ja pysäköintijärjestelyt Ruoholahdenta 3 edustalla;HEL 2016-003452;Ruoholahdenranta;
2016-26;1.4.2016;Hernesaarenrannan liikenteen ohjaussuunnitelma;HEL 2016-003453;6561-1;
2016-32;1.4.2016;Rikhard Nymanin tien länsipään liikennejärjestelyt;HEL 2016-003540;6559-4;
2016-29;1.4.2016;Yhdistetyn pyörätien ja jalkakäytävän merkitseminen Eliel Saarisen tien eteläosassa;HEL 2016-003546;Eliel Saarisen tie;
2016-31;1.4.2016;Jalankulkuvaloita varoittaminen Tattariharjuntiellä;HEL 2016-003559;Tattariharjuntie;
2016-30;1.4.2016;Kuorma-autojen pysäköintipaikkojen merkitsemnen Somerikkotielle;HEL 2016-003560;Somerikkotie;
2016-35;7.4.2016;Paanajärvenpolun leventäminen ja tontille ajon salliminen;HEL 2016-003497;6562-4;
2016-34;7.4.2016;Jalkakäytävän rakentaminen Vuorenpeikontielle;HEL 2016-003838;6563-4;
2016-33;7.4.2016;Viskaalintien ja Asessorintien risteyksen liikenteen ohjaussuunnitelma;HEL 2016-003898;6564-4;
2016-37;15.4.2016;Polkupyörätaksiaseman merkitseminen Lyypekinlaiturille;HEL 2016-003846;Lyypekinlaituri;
2016-36;15.4.2016;Tilapäiset pyöräpysäköintijärjestelyt kantakaupungin alueella;HEL 2016-004308;6566-3;
2016-41;22.4.2016;Pysäkki- ja pysäköintijärjestelyt Itämerenkadulla Ruoholahden metroaseman kohdalla;HEL 2016-003450;6570-4 ;
2016-40;22.4.2016;Pysäköintipaikkojen merkitseminen Arentitie 9 edustalle;HEL 2016-004395;Arentitie;
2016-39;22.4.2016;Baanan liikenteen ohjaussuunnitelma välillä Hakamäentie Käpylän asema;HEL 2016-004603;6568-2, 6569-0;
2016-42;29.4.2016;Lauttasaarentien ympäristön liikenteen ohjaussuunnitelma;HEL 2015-013608;6531-7;
2016-48;13.5.2016;Sulkulaitteen asettaminen Velkuanpolulle;HEL 2016-004828;Velkuanpolku;
2016-54;13.5.2016;Pysäkki- ja pysäköintijärjestelyt Erottajankadulla ja Yrjönkadulla;HEL 2016-005140;6573-3;
2016-51;13.5.2016;Linja-auton pysäkin merkitseminen Arkadiankatu 18 edustalle;HEL 2016-005141;Arkadiankatu;
2016-52;13.5.2016;Pysäköinnin kieltäminen Fabianinkatu 6 edustalla;HEL 2016-005148;Fabianinkatu;
2016-49;13.5.2016;Isokaaren pysäkki- ja pysäköintijärjestelyt välillä Takaniementie Kuikkarinne;HEL 2016-005265;6575-3;
2016-53;13.5.2016;Pysäköinnin kieltäminen Eerikinkatu 24 edustalla;HEL 2016-005420;Eerikinkatu 24 pysäköintikielto;
2016-47;13.5.2016;Vääksyntien, Teollisuuskadun ja Aleksis Kiven kadun risteyksen liikennesuunnitelma;HEL 2016-005430;6576-3;
2016-50;13.5.2016;Vattuniemen pysäkki- ja pysäköintijärjestelyt;;;
2016-57;20.5.2016;Isoisänsillan ja Mustikkamaanpolun välisen raitin liikenteen ohjaussuunnitelma;HEL 2016-005531;6577-4;
2016-62;20.5.2016;Asukaspysäköintipaikkojen lisääminen Uudenmaankatu 14 ja 10-8 edustalle;HEL 2016-005574;Uudenmaankatu 14 ;
2016-60;20.5.2016;Linja-autopysäkin merkitseminen Bulevardi 22 edustalle;HEL 2016-005575;Bulevardi 22;
2016-58;20.5.2016;Linja-auton pysäkin merkitseminen Bulevardi 56, 54 ja 46 edustalle;HEL 2016-005578;Bulevardi 56;
2016-59;20.5.2016;Linja-auton pysäkin poistaminen ja pysäköinnin kieltäminen Uudenmaankatu 42 ja 40 edustalla;HEL 2016-005589;Uudenmaankatu;
2016-61;20.5.2016;Asiointipysäköintipaikkojen merkitseminen Bulevardille Vanhan kirkkopuiston edustalle;HEL 2016-005590;Bulevardi, kirkkopuisto;
2016-56;20.5.2016;Liikennejärjestelyt Konepajan alueella ja Teollisuuskadulla välillä Konepajanpasaasi Konepajankuja;HEL 2016-005715;6578-2;
2016-55;20.5.2016;Turistijuna-aseman merkitseminen Unioninkatu 34 edustalle;HEL 2016-005716;Unioninkatu, Turistijunareitti;
2016-68;3.6.2016;Asukaspysäköintipaikkojen lisääminen Gyldenintie 15 edustalle;HEL 2016-006150;Gyldenintie;
2016-70;3.6.2016;Pysäköintipaikkojen varaaminen henkilö- ja pakettiautoille Patterikuja 4 edustalla;HEL 2016-006207;Patterikuja;
2016-67;3.6.2016;Kaupintie 13 edustan pysäköintirajoitus;HEL 2016-006279;Kaupintie ;
2016-69;3.6.2016;Pysäkkijärjestelyt Professorintie 1 edustalla;HEL 2016-006283;6592-4;
2016-65;3.6.2016;Läpiajokiellon poistaminen Kivalontieltä;HEL 2016-006330;Kivalontie;
2016-66;3.6.2016;Kirjasstoauton pysäkin rakentamnen Myllyväenkau 1 edustalle;HEL 2016-006331;Myllyväenkatu;
2016-64;3.6.2016;Pysäköintijärjestelyt Levytiellä;HEL 2016-006406;Levytie;
2016-74;10.6.2016;Asukaspysäköntipaikan lisääminen Stenbäckinkatu 4b edustalle;HEL 2016-004799;Stenbäckinkatu;
2016-77;10.6.2016;Asukaspysäköintipaikkojen lisääminen Tammitie 14 edustalle;HEL 2016-006410;Tammitie;
2016-73;10.6.2016;Asiointipysäköintipaikkojen merkitseminen Kasarmikatu 44 edustalle;HEL 2016-006541;Kasarmikatu;
2016-75;10.6.2016;Adolf Lindforsin tien liikenteen ohjaussuunnitelma;HEL 2016-006629;6593-3;
2016-72;10.6.2016;Suojatien poistaminen ja pysäköintirajoitukset Riihitie 9 edustalla;HEL 2016-006650;Riihitie;
2016-76;10.6.2016;Iso Roobertinkadun liikenteen ohjaussuunnitelma välillä Yrjönkatu Fredrikinkatu;;;
2016-89;17.6.2016;Jalankulun ja pyöräilyn yhteyksien parantaminen Sakarinmäen koululle Knutersintiellä;HEL 2012-005749;6456-54;
2016-80;17.6.2016;Vilhonvuorenkadun länsipään pysäköintijärjestelyt;HEL 2016-005586;6607-3;
2016-87;17.6.2016;Munkinpolun ja Nuottapolun liikenteen ohjaussuunnitelma;HEL 2016-006435;6601-4;
2016-88;17.6.2016;Liikennejärjestelyt Takkakujan pysäköintialueella;HEL 2016-006631;6594-4;
2016-86;17.6.2016;Pysäköintijärjestelyjen tarkistaminen Marinkatu 4 edustalla;HEL 2016-006781;Mariankatu;
2016-82;17.6.2016;Sähköautojen latauspisteet;HEL 2016-006813;6595-4, 6596-4, 6597-4, 6598-4, 6599-4, 6600-4;
2016-83;17.6.2016;Suojatiejärjestelyt Ahmatie 2 kohdalla;HEL 2016-006840;6604-4;
2016-81;17.6.2016;Tilapäiset pyöräpysäköintijärjestelyt Elimäenkadulla ja Runeberginkadulla;HEL 2016-006955;6602-4, 6603-4;
2016-84;17.6.2016;Pysäköintijärjestelyt Seurasaarentiellä;HEL 2016-006965;6606-7;
2016-85;17.6.2016;Pysäköintijärjestelyt Rantakartanontiellä välillä Rusthollarintie Puotilan metrokatu;HEL 2016-006970;Rantakartanontie;
2016-92;1.7.2016;Kameravalvontatolpan asettaminen Mechelininkadun itäpuolelle Taivallahden koulun läheisyyteen;HEL 2016-007753;Mechelininkatu;
2016-93;12.8.2016;Tilapäiset pyöräpysäköintijärjestelyt kantakaupungin alueella;HEL 2016-008788;6609-3;
2016-98;19.8.2016;Pysäköinnin kieltäminen Castreninkatu 7 edustalla;HEL 2016-007456;Castreninkatu;
2016-94;19.8.2016;Nopeusrajoituksen tehostaminen Munkkiniemenrannassa;HEL 2016-008136;Munkkiniemenranta;
2016-99;19.8.2016;Kalteentien alueellisen pysäköintikieltoalueen laajentaminen;HEL 2016-008584;Kalteentie;
2016-97;19.8.2016;Pysäköinnin kieltäminen Töölönkatu 49 edustalla;HEL 2016-008777;Töölönkatu;
2016-100;19.8.2016;Pietiläntien kääntöpaikalta ja Hietakummun ala-asteen koulun tontilta alkavien puistokäytävien merkitseminen yhdistetyksi pyörätieksi ja jalkakäytäväksi;HEL 2016-008836;Pietiläntie;
2016-102;19.8.2016;Pysäköinnin kieltäminen Eskolankujalla Myrttipuiston kohdalla;HEL 2016-008847;Eskolankuja;
