MerkkiKoodi;Kuvaus
H10;Vaikutusalue nuolen suuntaan
827;Vaikutusalue alkaa
H11;Vaikutusalue päättyy
H12.1;Henkilöauto
H12.2;Linja-auto
H12.3;Kuorma-auto
H12.4;Pakettiauto
H12.5;Matkailuperävaunu
H12.6;Matkailuauto
H12.7;Invalidin ajoneuvo
H12.8;Moottoripyörä
H12.9;Mopo
H12.10;Polkupyörä
H12.11;Moottorikelkka
H12.12;Traktori
H12.13;Vähäpäästöinen ajoneuvo
H13.1;Pysäköintitapa
H13.2;Pysäköintitapa
H14;Kielto ryhmän A vaarallisten aineiden kuljetukselle
H15;Kielto ryhmän B vaarallisten aineiden kuljetukselle
H16;Tunneliluokka
H17.1;Voimassaoloaika
H17.2;Voimassaoloaika
H17.3;Voimassaoloaika
H18;Aikarajoitus
H19.1;Pysäköintiajan alkamisen osoittamisvelvollisuus
H19.2;Pysäköintiajan alkamisen osoittamisvelvollisuus
H20;Maksullinen pysäköinti
H21;Latauspaikka
H22.1;Etuajo-oikeutetun liikenteen suunta
H22.2;Etuajo-oikeutetun liikenteen suunta
H23.1;Kaksisuuntainen pyörätie
H23.2;Kaksisuuntainen pyörätie
H24;Tekstillinen lisäkilpi
H25;Huoltoajo sallittu
H26;Hätäpuhelin ja sammutin
I1;Sulkupuomi
I2.1;Sulkuaita
I2.2;Sulkuaita
I3.1;Sulkupylväs
I3.2;Sulkupylväs
I3.3;Sulkupylväs
I4;Sulkukartio
I5;Taustamerkki
I6;Kaarteen suuntamerkki
I7.1;Reunamerkki
I7.2;Reunamerkki
I8;Korkeusmerkki
I9;Alikulun korkeusmitta
I10.1;Liikennemerkkipylvään tehostamismerkki
I10.2;Liikennemerkkipylvään tehostamismerkki
I11;Erkanemismerkki
I12.1;Reunapaalu
I12.2;Reunapaalu
I13;Siirtokehotus
I14;Paikannusmerkki
I15;Automaattinen liikennevalvonta
I16;Tekninen valvonta
I17.1;Poronhoitoalue
I17.2;Poronhoitoalue
I18;Yleinen nopeusrajoitus
I19;Valtion raja
K1;Keskiviiva
K2;Ajokaistaviiva
K3;Sulkuviiva
K4;Varoitusviiva
K5;Sulkualue
K6;Reunaviiva
L1;Pysäytysviiva
L2;Väistämisviiva
L3;Suojatie
L4;Pyörätien jatke
L5;Töyssy
L6;Heräteraidat
M1;Ajokaistanuoli
M2;Ajokaistan vaihtamisnuoli
M3;Pysäköintialue
M4;Keltainen reunamerkintä
M5;Pysäyttämisrajoitus
M6;Ohjausviiva
M7;Jalankulkija
M8;Pyöräilijä
M9;Väistämisvelvollisuutta osoittava ennakkomerkintä
M10;"""STOP""-ennakkomerkintä "
M11;"""P""-merkintä "
M12;Invalidin ajoneuvo
M13;"""BUS""-merkintä "
M14;"""TAXI""-merkintä "
M15;Lataus
M16;Nopeusrajoitus
M17;Tiennumero
M18;Risteysruudutus
M19;Liikennemerkki
P1;Vasen tai oikea käsivarsi kohotettuna, kämmen lähestyvää tienkäyttäjää kohti
P2;Viittoava merkki ajosuunnassa
P3;"Ajoneuvosta sivulle ojennettu käsivarsi; kämmen, pienoisliikennemerkki tai punaista valoa "
P4;Punainen vilkkuva valo, jota näytetään samanaikaisesti sinistä valoa näyttävän vilkkuvan
